agent,title,date,url,attachment_url,attachment_name,attachment_webfile_id,attachment_times
1035,关于2019-2020学年第二学期第二批通识教育选修课选课须知-福州大学教务处,2020-04-01,https://jwch.fzu.edu.cn/info/1035/7348.htm,,,,
1035,关于福州大学线上办理学籍成绩证明的通知-福州大学教务处,2020-03-30,https://jwch.fzu.edu.cn/info/1035/7342.htm,,,,
1035,关于2020年清明节放假课程调整的通知-福州大学教务处,2020-03-28,https://jwch.fzu.edu.cn/info/1035/7339.htm,,,,
1035,教务处关于2020年寒假用印安排的通知-福州大学教务处,2020-01-16,https://jwch.fzu.edu.cn/info/1035/7337.htm,,,,
1035,关于召开2019-2020学年第一学期期末教学工作会议的通知-福州大学教务处,2020-01-06,https://jwch.fzu.edu.cn/info/1035/7335.htm,,,,
1035,关于报送各学院2019年教学工作总结和2020年教学工作计划的通知-福州大学教务处,2019-12-09,https://jwch.fzu.edu.cn/info/1035/11539.htm,,,,
1035,关于本科生学生证补办的通知-福州大学教务处,2019-11-05,https://jwch.fzu.edu.cn/info/1035/11538.htm,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7669008,福州大学学生证补办申请表.xls,7669008,1020
1035,关于本科生学生证补办的通知-福州大学教务处,2019-11-05,https://jwch.fzu.edu.cn/info/1035/11538.htm,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7669009,福州大学学生证补办汇总表.xls,7669009,1210
1035,关于做好2019-2020学年 第二学期教材征订工作的通知-福州大学教务处,2019-11-04,https://jwch.fzu.edu.cn/info/1035/11537.htm,,,,
1035,关于2019级福州大学学生证信息采集的补充通知-福州大学教务处,2019-10-23,https://jwch.fzu.edu.cn/info/1035/11536.htm,,,,
1035,关于2019级福州大学学生证信息采集的通知-福州大学教务处,2019-09-19,https://jwch.fzu.edu.cn/info/1035/7324.htm,,,,
1035,关于召开2019-2020学年第一学期期初教学工作会议的通知-福州大学教务处,2019-09-16,https://jwch.fzu.edu.cn/info/1035/7319.htm,,,,
1035,教务处关于2019年暑假用印安排的通知-福州大学教务处,2019-07-03,https://jwch.fzu.edu.cn/info/1035/11533.htm,,,,
1035,关于更改期末教学工作会议时间的通知-福州大学教务处,2019-06-26,https://jwch.fzu.edu.cn/info/1035/11532.htm,,,,
1035,关于召开2018-2019学年第二学期期末教学工作会议的通知-福州大学教务处,2019-06-20,https://jwch.fzu.edu.cn/info/1035/7314.htm,,,,
1035,关于本科生学生证补办的通知-福州大学教务处,2019-05-24,https://jwch.fzu.edu.cn/info/1035/7309.htm,,,,
1035,福州大学关于印发 福州大学学生证管理办法的通知-福州大学教务处,2019-05-23,https://jwch.fzu.edu.cn/info/1035/7307.htm,,,,
1035,关于组织报名参加中国高等教育博览会（2019• 春）的通知-福州大学教务处,2019-05-17,https://jwch.fzu.edu.cn/info/1035/11568.htm,,,,
1035,关于召开2018-2019学年第二学期期初教学工作会议的通知-福州大学教务处,2019-03-18,https://jwch.fzu.edu.cn/info/1035/11567.htm,,,,
1035,关于2019年各学院本科教学经费使用的通知-福州大学教务处,2019-02-21,https://jwch.fzu.edu.cn/info/1035/11566.htm,,,,
1035,关于召开2018-2019学年第一学期期末教学工作会议的通知-福州大学教务处,2019-01-08,https://jwch.fzu.edu.cn/info/1035/7392.htm,,,,
1035,关于报送各学院2018年教学工作总结和2019年教学工作计划的通知-福州大学教务处,2018-12-10,https://jwch.fzu.edu.cn/info/1035/11564.htm,,,,
1035,关于做好2018-2019学年第二学期教材征订工作的通知-福州大学教务处,2018-11-15,https://jwch.fzu.edu.cn/info/1035/7388.htm,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605073,2019春教材征订附件.rar,7605073,840
1035,关于2018级福州大学学生证附卡信息采集的通知-福州大学教务处,2018-10-19,https://jwch.fzu.edu.cn/info/1035/11562.htm,,,,
1035,关于召开2018-2019学年第一学期期初教学工作会议的通知-福州大学教务处,2018-09-26,https://jwch.fzu.edu.cn/info/1035/11561.htm,,,,
1035,关于召开福州大学教学指导委员会会议的通知-福州大学教务处,2018-06-29,https://jwch.fzu.edu.cn/info/1035/7381.htm,,,,
1035,关于召开2017-2018学年第二学期期末教学工作会议的通知-福州大学教务处,2018-06-29,https://jwch.fzu.edu.cn/info/1035/7380.htm,,,,
1035,关于召开福州大学教学指导委员会会议的通知-福州大学教务处,2018-06-29,https://jwch.fzu.edu.cn/info/1035/11560.htm,,,,
1035,福州大学2017-2018学年第二学期教学工作要点-福州大学教务处,2018-03-27,https://jwch.fzu.edu.cn/info/1035/11557.htm,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7669035,福州大学2017-2018学年第二学期教学工作要点.rar,7669035,797
1035,关于做好2018-2019学年第一学期教材征订工作的通知-福州大学教务处,2018-03-27,https://jwch.fzu.edu.cn/info/1035/7378.htm,,,,
1035,关于召开2017-2018学年第二学期期初教学工作会议的通知-福州大学教务处,2018-03-19,https://jwch.fzu.edu.cn/info/1035/11556.htm,,,,
1035,福州大学关于推荐2018-2022年教育部高等学校教学指导委员会委员的通知-福州大学教务处,2018-03-14,https://jwch.fzu.edu.cn/info/1035/11555.htm,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7669033,附件材料.rar,7669033,766
